week,noisy sales
0,0.759583227
1,0.694162748
2,0.716887617
3,0.863248191
4,1.364113334
5,1.29512636
6,1.376037666
7,2.347294229
8,2.431377064
9,2.887450303
10,3.733022538
11,3.261378822
12,6.617397291
13,7.236101535
14,9.068264144
15,8.297030661
16,12.44556723
17,7.856124769
18,15.77816592
19,21.5481179
20,31.28228668
21,26.26267483
22,34.80006366
23,41.96388888
24,42.91768199
25,44.58346924
26,44.01982453
27,52.67979248
28,56.09664608
29,60.90949124
30,76.89726076
31,72.6002825
32,78.19904335
33,78.50242716
34,58.33628823
35,85.20114529
36,76.88162534
37,66.6629859
38,95.17199131
39,114.1684667
40,84.73870939
41,99.99350624
42,133.827876
43,77.25639659
44,83.25154578
45,68.97801305
46,124.9943416
47,107.5608698
48,78.5194259
49,118.2671738
50,126.4195797
51,94.7129232
52,82.07513357
53,117.6843551
54,93.17805793
55,127.6534117
56,101.2885935
57,99.38160695
58,104.3457173
59,100.3003731
60,121.4082775
61,101.2999843
62,98.04675874
63,68.11146975
64,77.67228675
65,95.13272788
66,79.85681908
67,82.24945277
68,118.3912556
69,131.0732236
70,84.35028515
71,105.0477866
72,162.8404028
73,162.5419068
74,160.9423381
75,132.564049
76,167.5617055
77,150.3333868
78,221.520579
79,294.6245308
80,167.2972248
81,219.8433741
82,197.5988391
83,255.1235297
84,217.986338
85,245.1115022
86,300.3191495
87,327.038997
88,302.0436231
89,298.4394547
90,318.8683324
91,331.1232203
92,386.6297661
93,284.7865184
94,329.2501868
95,310.5841946
96,413.1697201
97,276.2794269
98,243.8594423
99,338.616801
100,320.3618261
101,283.7599283
102,309.9607398
103,244.8827938
104,322.440739
