week,noisy sales
0,0.493637248
1,0.631001606
2,0.752118317
3,1.138599621
4,1.294416514
5,1.512391932
6,1.812631102
7,2.104447537
8,2.427930185
9,2.788610981
10,3.40561987
11,4.327821233
12,4.907500656
13,7.323356586
14,7.362301513
15,10.89745583
16,11.77484983
17,11.87947853
18,16.48531253
19,17.10651539
20,21.18997824
21,28.75272911
22,32.29008341
23,29.303518
24,41.63235282
25,44.05086404
26,47.4134586
27,52.8542374
28,64.14595623
29,77.22754285
30,56.92587565
31,73.35202683
32,69.27385942
33,93.54607382
34,65.42775415
35,93.45640343
36,89.00692571
37,101.2784035
38,96.71470087
39,90.12474287
40,88.69528018
41,86.26249229
42,106.6231294
43,89.5444514
44,94.04590451
45,100.2271025
46,87.01348401
47,97.62214056
48,102.1401626
49,109.3054994
50,96.26520362
51,105.046833
52,93.08167224
53,88.86881243
54,83.37243114
55,119.1457914
56,87.19889444
57,103.19109
58,94.79453281
59,106.4104046
60,94.70869655
61,113.5850158
62,99.87471649
63,101.5644111
64,107.5258369
65,83.80731334
66,114.0955796
67,78.70414796
68,98.12238635
69,104.8889678
70,126.8828438
71,124.4112442
72,157.6474538
73,163.4714723
74,147.9605033
75,181.5055719
76,182.2648665
77,186.5893384
78,218.1529576
79,243.7851603
80,219.3790189
81,234.3622729
82,253.2126164
83,300.2808981
84,278.583982
85,251.4625054
86,301.0344335
87,257.2387504
88,263.594435
89,277.0607887
90,281.410927
91,299.1309017
92,316.2096294
93,324.4870551
94,312.3321551
95,325.0639632
96,354.6837975
97,311.3279802
98,315.4302355
99,292.7526522
100,296.8075579
101,308.4730715
102,280.8086407
103,312.2367576
104,316.3750202
105,259.6011129
106,330.5964527
107,248.1253555
108,329.32997
109,291.9086507
110,264.3337373
111,324.1949052
112,280.9801012
113,242.0995497
114,295.106688
115,279.6401695
116,294.4029613
117,314.5304961
118,251.3802452
119,293.8386501
120,261.7345274
121,334.8355143
122,383.7043505
123,369.7791203
124,374.7554592
125,365.5867581
126,298.1040241
127,493.5129196
128,425.966312
129,467.426725
130,503.6363954
131,472.6461469
132,452.7823438
133,536.4042138
134,524.565872
135,585.6471876
136,595.6776934
137,583.317514
138,596.536898
139,603.915135
140,580.3715393
141,625.7834786
142,501.2372273
143,568.2292386
144,532.2169175
145,526.9638641
146,703.3328548
147,587.5248645
148,552.0959709
149,605.9538087
150,611.5584575
151,607.2983601
152,630.8114313
153,605.4886415
154,659.5069854
155,530.4418958
156,626.7637552
157,488.001244
158,776.7895782
159,616.1265175
160,558.2955913
161,572.4249818
162,681.5503519
163,613.1325019
164,563.4180047
165,696.6072479
166,583.0384171
167,614.0068576
168,652.4620816
169,610.8966564
170,652.3530857
171,688.3335112
172,509.4709079
173,549.7084934
174,701.5133177
175,505.8887579
176,570.5471796
177,691.8309448
178,673.6072153
179,603.9249304
180,547.2340243
181,594.3033619
182,546.5001988
183,628.0774245
184,598.9739626
185,568.437757
186,626.9532188
187,502.6449795
188,711.2403772
189,614.023058
190,544.6118959
191,555.1094065
192,603.2436954
193,667.8037602
194,663.4772373
195,724.1937299
196,492.553791
197,583.5906298
198,610.0451554
